"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "JSON with Comments", "TypeScript", "Markdown", "comment", "blank", "total"
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\index.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\forpractices\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\angular.json", "JSON", 0, 0, 0, 99, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package-lock.json", "JSON", 0, 0, 0, 14151, 0, 0, 0, 0, 1, 14152
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.html", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.css", "CSS", 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.html", "HTML", 0, 0, 77, 0, 0, 0, 0, 16, 6, 99
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\login-curd-word\login-curd-word.component.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 7, 79
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.css", "CSS", 0, 121, 0, 0, 0, 0, 0, 18, 12, 151
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.html", "HTML", 0, 0, 105, 0, 0, 0, 0, 0, 3, 108
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\app\property-binding\property-binding.component.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 7, 45
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\index.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\src\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\mytrainingApp\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\angular.json", "JSON", 0, 0, 0, 99, 0, 0, 0, 0, 1, 100
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\db.json", "JSON", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package-lock.json", "JSON", 0, 0, 0, 14258, 0, 0, 0, 0, 1, 14259
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.html", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\add\add.component.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 10, 38
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.html", "HTML", 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.config.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\list\list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\template.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\template.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\update\update.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\update\update.component.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 0, 1, 63
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\update\update.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\app\update\update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\index.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\src\styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 30, 0, 0, 2, 1, 33
"f:\assignments-java-traing\product-java-fullstack-training\angular projects\understand-curd\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 2, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\grid layout\girdlayout.html", "HTML", 0, 0, 97, 0, 0, 0, 0, 0, 7, 104
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\grid layout\girdmainstyle.css", "CSS", 0, 51, 0, 0, 0, 0, 0, 0, 9, 60
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\login task\loginformtask.html", "HTML", 0, 0, 119, 0, 0, 0, 0, 0, 2, 121
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\login task\loginstlying.css", "CSS", 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\practices\loginform.html", "HTML", 0, 0, 188, 0, 0, 0, 0, 8, 8, 204
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\snapdeal web page\minitemp.html", "HTML", 0, 0, 329, 0, 0, 0, 0, 0, 1, 330
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\snapdeal web page\snap.html", "HTML", 0, 0, 1068, 0, 0, 0, 0, 1, 74, 1143
"f:\assignments-java-traing\product-java-fullstack-training\bootscrapt\snapdeal web page\snapdealstyle.css", "CSS", 0, 281, 0, 0, 0, 0, 0, 0, 26, 307
"f:\assignments-java-traing\product-java-fullstack-training\clock\clockjs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\clock\clockmain.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"f:\assignments-java-traing\product-java-fullstack-training\clock\clockstyle.css", "CSS", 0, 65, 0, 0, 0, 0, 0, 1, 4, 70
"f:\assignments-java-traing\product-java-fullstack-training\flex\demo.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"f:\assignments-java-traing\product-java-fullstack-training\flex\demostyle.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 0, 10, 41
"f:\assignments-java-traing\product-java-fullstack-training\iframes\about.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\assignments-java-traing\product-java-fullstack-training\iframes\contact.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\assignments-java-traing\product-java-fullstack-training\iframes\heading.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"f:\assignments-java-traing\product-java-fullstack-training\iframes\home.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\assignments-java-traing\product-java-fullstack-training\iframes\main.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"f:\assignments-java-traing\product-java-fullstack-training\iframes\navside.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"f:\assignments-java-traing\product-java-fullstack-training\iframes\product.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\assignments-java-traing\product-java-fullstack-training\leveling task\grid ui\griduistyle.css", "CSS", 0, 100, 0, 0, 0, 0, 0, 0, 18, 118
"f:\assignments-java-traing\product-java-fullstack-training\leveling task\grid ui\uiGrid.html", "HTML", 0, 0, 156, 0, 0, 0, 0, 8, 6, 170
"f:\assignments-java-traing\product-java-fullstack-training\leveling task\login ui\login.html", "HTML", 0, 0, 80, 0, 0, 0, 0, 1, 4, 85
"f:\assignments-java-traing\product-java-fullstack-training\leveling task\login ui\loginStyle.css", "CSS", 0, 118, 0, 0, 0, 0, 0, 0, 7, 125
"Total", "-", 86, 1524, 5247, 43835, 90, 1065, 42, 96, 905, 52890